SchoolKey,SchoolName,SchoolPostcode,SchoolMapLabel,LocalAuthority,Postcode_area,Postcode_district,Latitude,Longitude,CatchmentGeoJsonUrl,FallbackGeoJsonUrl,FallbackGeoJsonFilename,HasRealCatchmentGeoJson,HasFallbackGeoJson
Lourdes Secondary School|G52 3DF,Lourdes Secondary School,G52 3DF,Lourdes Secondary School (Glasgow City),Glasgow City,G,G52,55.8443177,-4.3408049,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_lourdes_secondary_school_g52_3df.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_lourdes_secondary_school_g52_3df.geojson,fallback_lourdes_secondary_school_g52_3df.geojson,True,True
Mackie Academy|AB39 3DF,Mackie Academy,AB39 3DF,Mackie Academy (Aberdeenshire),Aberdeenshire,AB,AB39,56.9714031,-2.2224106,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_mackie_academy_5251931.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_mackie_academy_ab39_3df.geojson,fallback_mackie_academy_ab39_3df.geojson,True,True
Madras College|KY16 9BY,Madras College,KY16 9BY,Madras College (Fife),Fife,KY,KY16,56.338681,-2.7985769,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_madras_college_5426537.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_madras_college_ky16_9by.geojson,fallback_madras_college_ky16_9by.geojson,True,True
Mallaig High School|PH41 4RG,Mallaig High School,PH41 4RG,Mallaig High School (Highland),Highland,PH,PH41,57.0009446,-5.8314679,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_mallaig_high_school_5135834.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_mallaig_high_school_ph41_4rg.geojson,fallback_mallaig_high_school_ph41_4rg.geojson,True,True
Marr College|KA10 7AB,Marr College,KA10 7AB,Marr College (South Ayrshire),South Ayrshire,KA,KA10,55.5488731,-4.6454772,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_ayrshire_marr_college_8237832.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_marr_college_ka10_7ab.geojson,fallback_marr_college_ka10_7ab.geojson,True,True
McLaren High School|FK17 8JH,McLaren High School,FK17 8JH,McLaren High School (Stirling),Stirling,FK,FK17,56.238879,-4.2125234,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_stirling_mclaren_high_school_5722330.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_mclaren_high_school_fk17_8jh.geojson,fallback_mclaren_high_school_fk17_8jh.geojson,True,True
Mearns Academy|AB30 1ZJ,Mearns Academy,AB30 1ZJ,Mearns Academy (Aberdeenshire),Aberdeenshire,AB,AB30,56.8378698,-2.4592471,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_mearns_academy_5252032.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_mearns_academy_ab30_1zj.geojson,fallback_mearns_academy_ab30_1zj.geojson,True,True
Mearns Castle High School|G77 5GU,Mearns Castle High School,G77 5GU,Mearns Castle High School (East Renfrewshire),East Renfrewshire,G,G77,55.7697817,-4.30668,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_renfrewshire_mearns_castle_high_school_8602239.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_mearns_castle_high_school_g77_5gu.geojson,fallback_mearns_castle_high_school_g77_5gu.geojson,True,True
Meldrum Academy|AB51 0NT,Meldrum Academy,AB51 0NT,Meldrum Academy (Aberdeenshire),Aberdeenshire,AB,AB51,57.3370924,-2.3323024,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_meldrum_academy_5232333.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_meldrum_academy_ab51_0nt.geojson,fallback_meldrum_academy_ab51_0nt.geojson,True,True
Mid Yell Junior High School|ZE2 9BN,Mid Yell Junior High School,ZE2 9BN,Mid Yell Junior High School (Shetland Islands),Shetland Islands,ZE,ZE2,60.5967313,-1.0652747,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_shetland_islands_mid_yell_junior_high_school_6103731.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_mid_yell_junior_high_school_ze2_9bn.geojson,fallback_mid_yell_junior_high_school_ze2_9bn.geojson,True,True
