matched_school_key,school_name,school_postcode,local_authority,combined_geojson_filename,combined_geojson_url,feature_count,row_geojson_urls
Trinity High School|PA4 8TP,Trinity High School,PA4 8TP,Renfrewshire,scotland_sd_combined_renfrewshire_trinity_high_school_pa4_8tp.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_renfrewshire_trinity_high_school_pa4_8tp.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_renfrewshire_trinity_high_school_8632030.geojson
St Aidan's High School|ML2 7EW,St Aidan's High School,ML2 7EW,North Lanarkshire,scotland_sd_combined_north_lanarkshire_st_aidan_s_high_school_ml2_7ew.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_north_lanarkshire_st_aidan_s_high_school_ml2_7ew.geojson,2,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_south_lanarkshire_st_aidan_s_high_school_north_lanarkshire_26.geojson | https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_st_aidan_s_high_school_8517436.geojson
Turnbull High School|G64 2EF,Turnbull High School,G64 2EF,East Dunbartonshire,scotland_sd_combined_east_dunbartonshire_turnbull_high_school_g64_2ef.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_east_dunbartonshire_turnbull_high_school_g64_2ef.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_east_dunbartonshire_turnbull_high_school_8342032.geojson
St Margaret Mary's Secondary School|G45 9NJ,St Margaret Mary's Secondary School,G45 9NJ,Glasgow City,scotland_sd_combined_glasgow_city_st_margaret_mary_s_secondary_school_g45_9nj.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_st_margaret_mary_s_secondary_school_g45_9nj.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_margaret_mary_s_secondary_school_8438331.geojson
St Columba's R C High School|KY11 4UN,St Columba's R C High School,KY11 4UN,Fife,scotland_sd_combined_fife_st_columba_s_r_c_high_school_ky11_4un.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_fife_st_columba_s_r_c_high_school_ky11_4un.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_fife_st_columba_s_r_c_high_school_5446538.geojson
St Ninian's High School|G66 1DT,St Ninian's High School,G66 1DT,East Dunbartonshire,scotland_sd_combined_east_dunbartonshire_st_ninian_s_high_school_g66_1dt.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_east_dunbartonshire_st_ninian_s_high_school_g66_1dt.geojson,2,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_st_ninian_s_high_school_8337934.geojson | https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_east_dunbartonshire_st_ninian_s_high_school_8337934.geojson
Taylor High School|ML1 4JP,Taylor High School,ML1 4JP,North Lanarkshire,scotland_sd_combined_north_lanarkshire_taylor_high_school_ml1_4jp.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_north_lanarkshire_taylor_high_school_ml1_4jp.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_taylor_high_school_8519137.geojson
St Joseph's Academy|KA3 7SL,St Joseph's Academy,KA3 7SL,East Ayrshire,scotland_sd_combined_east_ayrshire_st_joseph_s_academy_ka3_7sl.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_east_ayrshire_st_joseph_s_academy_ka3_7sl.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_east_ayrshire_st_joseph_s_academy_8224633.geojson
St Andrew's Academy|PA2 7LG,St Andrew's Academy,PA2 7LG,Renfrewshire,scotland_sd_combined_renfrewshire_st_andrew_s_academy_pa2_7lg.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_renfrewshire_st_andrew_s_academy_pa2_7lg.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_renfrewshire_st_andrew_s_academy_8629439.geojson
St Joseph's College|DG1 4UU,St Joseph's College,DG1 4UU,Dumfries and Galloway,scotland_sd_combined_dumfries_and_galloway_st_joseph_s_college_dg1_4uu.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_dumfries_and_galloway_st_joseph_s_college_dg1_4uu.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_dumfries_and_galloway_st_joseph_s_college_5941032.geojson
