geojson_filename,geojson_url,source_school_nam,source_local_auth,source_seed_code,matched_school_key,matched_method
scotland_sd_dundee_city_st_paul_s_rc_academy_5330033.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_dundee_city_st_paul_s_rc_academy_5330033.geojson,ST PAUL'S RC ACADEMY,Dundee City,5330033,St Paul's RC Academy|DD3 0EH,seed_code
scotland_sd_north_lanarkshire_st_maurice_s_high_school_8358931.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_st_maurice_s_high_school_8358931.geojson,ST MAURICE'S HIGH SCHOOL,North Lanarkshire,8358931,St Maurice's High School|G68 9AG,seed_code
scotland_sd_glasgow_city_st_thomas_aquinas_secondary_school_8438838.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_thomas_aquinas_secondary_school_8438838.geojson,ST THOMAS AQUINAS SECONDARY SCHOOL,Glasgow City,8438838,St Thomas Aquinas Secondary School|G14 9PP,seed_code
scotland_sd_north_lanarkshire_our_lady_s_high_school_motherwell_8517134.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_our_lady_s_high_school_motherwell_8517134.geojson,OUR LADY'S HIGH SCHOOL - MOTHERWELL,North Lanarkshire,8517134,Our Lady's High School - Motherwell|ML1 2DG,seed_code
scotland_sd_falkirk_st_modan_s_high_school_5726336.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_falkirk_st_modan_s_high_school_5726336.geojson,ST MODAN'S HIGH SCHOOL,Falkirk,5726336,St Modan's High School|FK7 7WS,seed_code
scotland_sd_inverclyde_st_columba_s_high_school_8645434.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_inverclyde_st_columba_s_high_school_8645434.geojson,ST COLUMBA'S HIGH SCHOOL,Inverclyde,8645434,St Columba's High School|PA19 1TN,seed_code
scotland_sd_city_of_edinburgh_holy_rood_rc_high_school_5533031.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_city_of_edinburgh_holy_rood_rc_high_school_5533031.geojson,HOLY ROOD RC HIGH SCHOOL,City of Edinburgh,5533031,Holy Rood RC High School|EH15 3ST,seed_code
scotland_sd_west_dunbartonshire_st_peter_the_apostle_high_school_8300135.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_west_dunbartonshire_st_peter_the_apostle_high_school_8300135.geojson,ST PETER THE APOSTLE HIGH SCHOOL,West Dunbartonshire,8300135,St Peter the Apostle High School|G81 2DB,seed_code
scotland_sd_fife_st_andrew_s_r_c_high_school_5407230.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_fife_st_andrew_s_r_c_high_school_5407230.geojson,ST ANDREW'S R C HIGH SCHOOL,Fife,5407230,St Andrew's R C High School|KY1 3JL,seed_code
scotland_sd_north_lanarkshire_st_margaret_s_high_school_8505934.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_st_margaret_s_high_school_8505934.geojson,ST MARGARET'S HIGH SCHOOL,North Lanarkshire,8505934,St Margaret's High School|ML6 6EU,seed_code
scotland_sd_renfrewshire_st_benedict_s_high_school_8620032.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_renfrewshire_st_benedict_s_high_school_8620032.geojson,ST BENEDICT'S HIGH SCHOOL,Renfrewshire,8620032,St Benedict's High School|PA5 8EX,seed_code
scotland_sd_midlothian_st_david_s_rc_high_school_5546230.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_midlothian_st_david_s_rc_high_school_5546230.geojson,ST DAVID'S RC HIGH SCHOOL,Midlothian,5546230,St David's RC High School|EH22 2PS,seed_code
scotland_sd_west_dunbartonshire_our_lady_st_patrick_s_high_school_8304238.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_west_dunbartonshire_our_lady_st_patrick_s_high_school_8304238.geojson,OUR LADY & ST PATRICK'S HIGH SCHOOL,West Dunbartonshire,8304238,Our Lady & St Patrick's High School|G82 3DR,seed_code
scotland_sd_glasgow_city_st_ambrose_high_school_coatbridge_14.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_ambrose_high_school_coatbridge_14.geojson,ST AMBROSE HIGH SCHOOL (COATBRIDGE),Glasgow City,,St Ambrose High School|ML5 2HT,manual_override
scotland_sd_south_lanarkshire_st_andrew_s_and_st_bride_s_high_school_15.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_south_lanarkshire_st_andrew_s_and_st_bride_s_high_school_15.geojson,ST ANDREW'S AND ST. BRIDE'S HIGH SCHOOL,South Lanarkshire,,St Andrew's and St Bride's High School|G74 1NL,school_name_and_la
scotland_sd_north_ayrshire_st_matthew_s_academy_8210039.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_ayrshire_st_matthew_s_academy_8210039.geojson,ST MATTHEW'S ACADEMY,North Ayrshire,8210039,St Matthew's Academy|KA21 5NT,seed_code
