source_row,source_school_nam,source_local_auth,source_seed_code,matched_school_key,matched_method,match_count,manual_override_reason,geojson_filename,geojson_url
23,ST ANDREW'S HIGH SCHOOL,North Lanarkshire,8500037,St Andrew's High School|ML5 5EA,seed_code,1,,scotland_sd_north_lanarkshire_st_andrew_s_high_school_8500037.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_st_andrew_s_high_school_8500037.geojson
24,TRINITY HIGH SCHOOL,Renfrewshire,8632030,Trinity High School|PA4 8TP,seed_code,1,,scotland_sd_renfrewshire_trinity_high_school_8632030.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_renfrewshire_trinity_high_school_8632030.geojson
25,TRINITY HIGH SCHOOL (SOUTH LANARKSHIRE),Glasgow City,,Trinity High School|G73 3LW,manual_override,1,Cross-authority denominational catchment label refers to South Lanarkshire Trinity High School,scotland_sd_glasgow_city_trinity_high_school_south_lanarkshire_25.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_trinity_high_school_south_lanarkshire_25.geojson
26,ST AIDAN'S HIGH SCHOOL (NORTH LANARKSHIRE),South Lanarkshire,,St Aidan's High School|ML2 7EW,manual_override,1,Cross-authority denominational catchment label refers to North Lanarkshire St Aidan's High School,scotland_sd_south_lanarkshire_st_aidan_s_high_school_north_lanarkshire_26.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_south_lanarkshire_st_aidan_s_high_school_north_lanarkshire_26.geojson
27,TURNBULL HIGH SCHOOL,East Dunbartonshire,8342032,Turnbull High School|G64 2EF,seed_code,1,,scotland_sd_east_dunbartonshire_turnbull_high_school_8342032.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_east_dunbartonshire_turnbull_high_school_8342032.geojson
28,ST MARGARET MARY'S SECONDARY SCHOOL,Glasgow City,8438331,St Margaret Mary's Secondary School|G45 9NJ,seed_code,1,,scotland_sd_glasgow_city_st_margaret_mary_s_secondary_school_8438331.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_margaret_mary_s_secondary_school_8438331.geojson
29,ST COLUMBA'S R C HIGH SCHOOL,Fife,5446538,St Columba's R C High School|KY11 4UN,seed_code,1,,scotland_sd_fife_st_columba_s_r_c_high_school_5446538.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_fife_st_columba_s_r_c_high_school_5446538.geojson
30,ST NINIAN'S HIGH SCHOOL,North Lanarkshire,8337934,St Ninian's High School|G66 1DT,seed_code,1,,scotland_sd_north_lanarkshire_st_ninian_s_high_school_8337934.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_st_ninian_s_high_school_8337934.geojson
31,TAYLOR HIGH SCHOOL,North Lanarkshire,8519137,Taylor High School|ML1 4JP,seed_code,1,,scotland_sd_north_lanarkshire_taylor_high_school_8519137.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_taylor_high_school_8519137.geojson
32,ST JOSEPH'S ACADEMY,East Ayrshire,8224633,St Joseph's Academy|KA3 7SL,seed_code,1,,scotland_sd_east_ayrshire_st_joseph_s_academy_8224633.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_east_ayrshire_st_joseph_s_academy_8224633.geojson
33,ST ANDREW'S ACADEMY,Renfrewshire,8629439,St Andrew's Academy|PA2 7LG,seed_code,1,,scotland_sd_renfrewshire_st_andrew_s_academy_8629439.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_renfrewshire_st_andrew_s_academy_8629439.geojson
34,ST JOSEPH'S COLLEGE,Dumfries and Galloway,5941032,St Joseph's College|DG1 4UU,seed_code,1,,scotland_sd_dumfries_and_galloway_st_joseph_s_college_5941032.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_dumfries_and_galloway_st_joseph_s_college_5941032.geojson
35,QUEEN MARGARET ACADEMY-X,South Ayrshire,8236232,Queen Margaret Academy|KA7 3TL,seed_code,1,,scotland_sd_south_ayrshire_queen_margaret_academy_x_8236232.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_south_ayrshire_queen_margaret_academy_x_8236232.geojson
36,ST ROCH'S SECONDARY SCHOOL,Glasgow City,8438730,St Roch's Secondary School|G21 2NF,seed_code,1,,scotland_sd_glasgow_city_st_roch_s_secondary_school_8438730.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_roch_s_secondary_school_8438730.geojson
37,ST STEPHEN'S HIGH SCHOOL,Inverclyde,8645639,St Stephen's High School|PA14 6PP,seed_code,1,,scotland_sd_inverclyde_st_stephen_s_high_school_8645639.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_inverclyde_st_stephen_s_high_school_8645639.geojson
38,JOHN PAUL ACADEMY,Glasgow City,8458731,John Paul Academy|G23 5LY,seed_code,1,,scotland_sd_glasgow_city_john_paul_academy_8458731.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_john_paul_academy_8458731.geojson
39,ST JOHN'S RC ACADEMY,Perth and Kinross,5350239,St John's RC Academy|PH1 5BF,seed_code,1,,scotland_sd_perth_and_kinross_st_john_s_rc_academy_5350239.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_perth_and_kinross_st_john_s_rc_academy_5350239.geojson
40,JOHN OGILVIE HIGH SCHOOL,South Lanarkshire,,St John Ogilvie High School|ML3 9LA,manual_override,1,Catchment file omits St prefix,scotland_sd_south_lanarkshire_john_ogilvie_high_school_40.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_south_lanarkshire_john_ogilvie_high_school_40.geojson
41,ST NINIAN'S HIGH SCHOOL,East Dunbartonshire,8337934,St Ninian's High School|G66 1DT,seed_code,1,,scotland_sd_east_dunbartonshire_st_ninian_s_high_school_8337934.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_east_dunbartonshire_st_ninian_s_high_school_8337934.geojson
42,ST ANDREW'S SECONDARY SCHOOL,Glasgow City,8437238,St Andrew's Secondary School|G32 6QE,seed_code,1,,scotland_sd_glasgow_city_st_andrew_s_secondary_school_8437238.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_andrew_s_secondary_school_8437238.geojson
43,SINCLAIR ACADEMY,West Lothian,1006096,Sinclair Academy|EH52 6FY,seed_code,1,,scotland_sd_west_lothian_sinclair_academy_1006096.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_west_lothian_sinclair_academy_1006096.geojson
44,HOLYROOD SECONDARY SCHOOL,Glasgow City,8434530,Holyrood Secondary School|G42 8AU,seed_code,1,,scotland_sd_glasgow_city_holyrood_secondary_school_8434530.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_holyrood_secondary_school_8434530.geojson
45,ST MUNGO'S RC HIGH SCHOOL,Falkirk,5746434,St Mungo's RC High School|FK2 7JT,seed_code,1,,scotland_sd_falkirk_st_mungo_s_rc_high_school_5746434.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_falkirk_st_mungo_s_rc_high_school_5746434.geojson
46,ST LUKE'S HIGH SCHOOL,East Renfrewshire,8626138,St Luke's High School|G78 2SG,seed_code,1,,scotland_sd_east_renfrewshire_st_luke_s_high_school_8626138.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_east_renfrewshire_st_luke_s_high_school_8626138.geojson
47,ST KENTIGERN'S ACADEMY,West Lothian,5509939,St Kentigern's Academy|EH47 7LX,seed_code,1,,scotland_sd_west_lothian_st_kentigern_s_academy_5509939.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_west_lothian_st_kentigern_s_academy_5509939.geojson
48,QUEEN MARGARET ACADEMY,South Ayrshire,8236232,Queen Margaret Academy|KA7 3TL,seed_code,1,,scotland_sd_south_ayrshire_queen_margaret_academy_8236232.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_south_ayrshire_queen_margaret_academy_8236232.geojson
49,ST JOHN'S RC HIGH SCHOOL,Dundee City,5330831,St John's RC High School|DD3 6EY,seed_code,1,,scotland_sd_dundee_city_st_john_s_rc_high_school_5330831.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_dundee_city_st_john_s_rc_high_school_5330831.geojson
50,NOTRE DAME HIGH SCHOOL,Inverclyde,8645132,Notre Dame High School|PA16 9BJ,seed_code,1,,scotland_sd_inverclyde_notre_dame_high_school_8645132.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_inverclyde_notre_dame_high_school_8645132.geojson
51,ST AMBROSE HIGH SCHOOL,North Lanarkshire,8506736,St Ambrose High School|ML5 2HT,seed_code,1,,scotland_sd_north_lanarkshire_st_ambrose_high_school_8506736.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_st_ambrose_high_school_8506736.geojson
52,ST PAUL'S HIGH SCHOOL,Glasgow City,8432139,St Paul's High School|G53 5HW,seed_code,1,,scotland_sd_glasgow_city_st_paul_s_high_school_8432139.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_paul_s_high_school_8432139.geojson
53,NOTRE DAME HIGH SCHOOL,Glasgow City,8436134,Notre Dame High School|G12 9LN,seed_code,1,,scotland_sd_glasgow_city_notre_dame_high_school_8436134.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_notre_dame_high_school_8436134.geojson
54,CARDINAL NEWMAN HIGH SCHOOL,North Lanarkshire,8518637,Cardinal Newman High School|ML4 3DW,seed_code,1,,scotland_sd_north_lanarkshire_cardinal_newman_high_school_8518637.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_cardinal_newman_high_school_8518637.geojson
55,ST MARGARET'S ACADEMY,West Lothian,5512530,St Margaret's Academy|EH54 6AT,seed_code,1,,scotland_sd_west_lothian_st_margaret_s_academy_5512530.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_west_lothian_st_margaret_s_academy_5512530.geojson
56,ST NINIANS HIGH SCHOOL,East Renfrewshire,,St Ninian's High School|G46 6UX,manual_override,1,Catchment file omits apostrophe,scotland_sd_east_renfrewshire_st_ninians_high_school_56.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_east_renfrewshire_st_ninians_high_school_56.geojson
57,ALL SAINTS SECONDARY SCHOOL,Glasgow City,8431930,All Saints Secondary School|G21 3EN,seed_code,1,,scotland_sd_glasgow_city_all_saints_secondary_school_8431930.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_all_saints_secondary_school_8431930.geojson
58,ST MUNGO'S ACADEMY,Glasgow City,8438439,St Mungo's Academy|G40 2RA,seed_code,1,,scotland_sd_glasgow_city_st_mungo_s_academy_8438439.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_mungo_s_academy_8438439.geojson
59,ST MODAN'S HIGH SCHOOL,Stirling,5726336,St Modan's High School|FK7 7WS,seed_code,1,,scotland_sd_stirling_st_modan_s_high_school_5726336.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_stirling_st_modan_s_high_school_5726336.geojson
60,ST AIDAN'S HIGH SCHOOL,North Lanarkshire,8517436,St Aidan's High School|ML2 7EW,seed_code,1,,scotland_sd_north_lanarkshire_st_aidan_s_high_school_8517436.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_st_aidan_s_high_school_8517436.geojson
61,PROPERTIES IN THIS AREA HAVE ST THOMAS OF AQUIN'S AS THEIR CATCHMENT SCHOOL,City of Edinburgh,,St Thomas Of Aquin's High School|EH3 9NH,manual_override,1,Descriptive catchment label maps to St Thomas Of Aquin's High School,scotland_sd_city_of_edinburgh_properties_in_this_area_have_st_thomas_of_aquin_s_as_their_catchment_school_61.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_city_of_edinburgh_properties_in_this_area_have_st_thomas_of_aquin_s_as_their_catchment_school_61.geojson
62,OUR LADY AND ST PATRICK'S,Argyll and Bute,,Our Lady & St Patrick's High School|G82 3DR,manual_override,1,Cross-authority denominational catchment label refers to Our Lady & St Patrick's High School,scotland_sd_argyll_and_bute_our_lady_and_st_patrick_s_62.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_argyll_and_bute_our_lady_and_st_patrick_s_62.geojson
63,LOURDES SECONDARY SCHOOL,Glasgow City,8435839,Lourdes Secondary School|G52 3DF,seed_code,1,,scotland_sd_glasgow_city_lourdes_secondary_school_8435839.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_lourdes_secondary_school_8435839.geojson
