geojson_filename,geojson_url,source_school_nam,source_local_auth,source_seed_code,matched_school_key,matched_method
scotland_sn_scottish_borders_kelso_high_11.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_scottish_borders_kelso_high_11.geojson,KELSO HIGH,Scottish Borders,,Kelso High School|TD5 7NL,manual_override
scotland_sn_city_of_edinburgh_broughton_high_school_5531632.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_broughton_high_school_5531632.geojson,BROUGHTON HIGH SCHOOL,City of Edinburgh,5531632,Broughton High School|EH4 1EG,seed_code
scotland_sn_fife_queen_anne_high_school_5446236.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_queen_anne_high_school_5446236.geojson,QUEEN ANNE HIGH SCHOOL,Fife,5446236,Queen Anne High School|KY12 0PQ,seed_code
scotland_sn_city_of_edinburgh_craigroyston_community_high_school_5532434.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_craigroyston_community_high_school_5532434.geojson,CRAIGROYSTON COMMUNITY HIGH SCHOOL,City of Edinburgh,5532434,Craigroyston Community High School|EH4 4NL,seed_code
scotland_sn_highland_wick_high_school_5102138.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_wick_high_school_5102138.geojson,WICK HIGH SCHOOL,Highland,5102138,Wick High School|KW1 5LT,seed_code
scotland_sn_inverclyde_clydeview_academy_8640130.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_inverclyde_clydeview_academy_8640130.geojson,CLYDEVIEW ACADEMY,Inverclyde,8640130,Clydeview Academy|PA19 1UX,seed_code
scotland_sn_midlothian_newbattle_high_school_5546036.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_midlothian_newbattle_high_school_5546036.geojson,NEWBATTLE HIGH SCHOOL,Midlothian,5546036,Newbattle High School|EH22 4SX,seed_code
scotland_sn_aberdeenshire_portlethen_academy_5258030.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_portlethen_academy_5258030.geojson,PORTLETHEN ACADEMY,Aberdeenshire,5258030,Portlethen Academy|AB12 4QL,seed_code
scotland_sn_highland_farr_high_school_5110432.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_farr_high_school_5110432.geojson,FARR HIGH SCHOOL,Highland,5110432,Farr High School|KW14 7SS,seed_code
scotland_sn_city_of_edinburgh_craigmount_high_school_5532132.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_craigmount_high_school_5532132.geojson,CRAIGMOUNT HIGH SCHOOL,City of Edinburgh,5532132,Craigmount High School|EH12 8NH,seed_code
